name,latitude,longitude,crowd_rating,obstacle_rating,size_rating,visibility_rating,diversity_rating,photo,date_visited,username
California Adventures,33.8088386,-117.9188875,1,10,10,1,1,/uploads/17330277226406402438743789565358.jpg,2024-12-11 20:40:08,
Disneyland California,33.809618,-117.918775,1,10,10,1,1,/uploads/17330278961175731722060073344646.jpg,2024-12-11 20:39:12,
Ensenada Port,31.8591749,-116.6235887,3,4,5,10,10,/uploads/17334250864845949942300307593852.jpg,2024-12-11 20:40:44,
Frontier Family,33.264492,-111.6024047,3,8,6,3,4,/uploads/20241211_121345.jpg,2024-12-11 20:41:15,
kaylas park ,33.2038144,-111.5848704,10,10,10,10,10,,2024-12-12 21:57:02,rowdy
kaylas park ,33.2116948,-111.5772727,10,10,10,10,10,,2024-12-12 22:02:13,robin
kaylas park ,33.2038144,-111.5848704,10,10,10,10,10,,"12/12/2024, 03:05:45 PM PST",robin
